,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season
0,1.0,2013-09-08,DAL,0,NYG,12.5,DeMarco Murray,RB,2013
1,2.0,2013-09-15,DAL,1,KAN,7.4,DeMarco Murray,RB,2013
2,3.0,2013-09-22,DAL,0,STL,26.3,DeMarco Murray,RB,2013
3,4.0,2013-09-29,DAL,1,SDG,9.2,DeMarco Murray,RB,2013
4,5.0,2013-10-06,DAL,0,DEN,10.8,DeMarco Murray,RB,2013
5,6.0,2013-10-13,DAL,0,WAS,11.0,DeMarco Murray,RB,2013
6,9.0,2013-11-03,DAL,0,MIN,5.0,DeMarco Murray,RB,2013
7,10.0,2013-11-10,DAL,1,NOR,15.5,DeMarco Murray,RB,2013
8,11.0,2013-11-24,DAL,1,NYG,12.6,DeMarco Murray,RB,2013
9,12.0,2013-11-28,DAL,0,OAK,28.2,DeMarco Murray,RB,2013
10,13.0,2013-12-09,DAL,1,CHI,15.5,DeMarco Murray,RB,2013
11,14.0,2013-12-15,DAL,0,GNB,21.3,DeMarco Murray,RB,2013
12,15.0,2013-12-22,DAL,1,WAS,23.1,DeMarco Murray,RB,2013
13,16.0,2013-12-29,DAL,0,PHI,6.7,DeMarco Murray,RB,2013
